,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171019T19,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T20,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T21,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T22,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T23,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T24,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T25,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T26,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T27,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T28,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T29,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T30,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T31,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T32,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T33,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T34,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T35,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T36,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T37,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T38,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T39,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T40,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T41,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T42,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T43,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T44,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T45,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T46,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T47,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T48,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T3,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T4,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
